"Muscle Group","Exercise"
"CHEST","Band-Assisted Bench Press"
"CHEST","Bar Dip"
"CHEST","Bench Press"
"CHEST","Bench Press Against Band"
"CHEST","Board Press"
"CHEST","Cable Chest Press"
"CHEST","Close-Grip Bench Press"
"CHEST","Close-Grip Feet-Up Bench Press"
"CHEST","Decline Bench Press"
"CHEST","Decline Push-Up"
"CHEST","Dumbbell Chest Fly"
"CHEST","Dumbbell Chest Press"
"CHEST","Dumbbell Decline Chest Press"
"CHEST","Dumbbell Floor Press"
"CHEST","Dumbbell Pullover"
"CHEST","Feet-Up Bench Press"
"CHEST","Floor Press"
"CHEST","Incline Bench Press"
"CHEST","Incline Dumbbell Press"
"CHEST","Incline Push-Up"
"CHEST","Kettlebell Floor Press"
"CHEST","Kneeling Incline Push-Up"
"CHEST","Kneeling Push-Up"
"CHEST","Machine Chest Fly"
"CHEST","Machine Chest Press"
"CHEST","Pec Deck"
"CHEST","Pin Bench Press"
"CHEST","Push-Up"
"CHEST","Push-Up Against Wall"
"CHEST","Push-Ups With Feet in Rings"
"CHEST","Resistance Band Chest Fly"
"CHEST","Smith Machine Bench Press"
"CHEST","Smith Machine Incline Bench Press"
"CHEST","Standing Cable Chest Fly"
"CHEST","Standing Resistance Band Chest Fly"
"SHOULDER","Landmine Press"
"SHOULDER","Band External Shoulder Rotation"
"SHOULDER","Band Internal Shoulder Rotation"
"SHOULDER","Band Pull-Apart"
"SHOULDER","Barbell Front Raise"
"SHOULDER","Barbell Rear Delt Row"
"SHOULDER","Barbell Upright Row"
"SHOULDER","Behind the Neck Press"
"SHOULDER","Cable Lateral Raise"
"SHOULDER","Cable Rear Delt Row"
"SHOULDER","Dumbbell Front Raise"
"SHOULDER","Dumbbell Horizontal Internal Shoulder Rotation"
"SHOULDER","Dumbbell Horizontal External Shoulder Rotation"
"SHOULDER","Dumbbell Lateral Raise"
"SHOULDER","Dumbbell Rear Delt Row"
"SHOULDER","Dumbbell Shoulder Press"
"SHOULDER","Face Pull"
"SHOULDER","Front Hold"
"SHOULDER","Lying Dumbbell External Shoulder Rotation"
"SHOULDER","Lying Dumbbell Internal Shoulder Rotation"
"SHOULDER","Machine Lateral Raise"
"SHOULDER","Machine Shoulder Press"
"SHOULDER","Monkey Row"
"SHOULDER","Overhead Press"
"SHOULDER","Plate Front Raise"
"SHOULDER","Power Jerk"
"SHOULDER","Push Press"
"SHOULDER","Reverse Cable Flyes"
"SHOULDER","Reverse Dumbbell Flyes"
"SHOULDER","Reverse Machine Fly"
"SHOULDER","Seated Dumbbell Shoulder Press"
"SHOULDER","Seated Barbell Overhead Press"
"SHOULDER","Seated Smith Machine Shoulder Press"
"SHOULDER","Snatch Grip Behind the Neck Press"
"SHOULDER","Squat Jerk"
"SHOULDER","Split Jerk"
"BICEP","Barbell Curl"
"BICEP","Barbell Preacher Curl"
"BICEP","Bodyweight Curl"
"BICEP","Cable Curl With Bar"
"BICEP","Cable Curl With Rope"
"BICEP","Concentration Curl"
"BICEP","Dumbbell Curl"
"BICEP","Dumbbell Preacher Curl"
"BICEP","Hammer Curl"
"BICEP","Incline Dumbbell Curl"
"BICEP","Machine Bicep Curl"
"BICEP","Spider Curl"
"TRICEPS","Barbell Standing Triceps Extension"
"TRICEPS","Barbell Lying Triceps Extension"
"TRICEPS","Bench Dip"
"TRICEPS","Close-Grip Push-Up"
"TRICEPS","Dumbbell Lying Triceps Extension"
"TRICEPS","Dumbbell Standing Triceps Extension"
"TRICEPS","Overhead Cable Triceps Extension"
"TRICEPS","Tricep Bodyweight Extension"
"TRICEPS","Tricep Pushdown With Bar"
"TRICEPS","Tricep Pushdown With Rope"
"LEG","Air Squat"
"LEG","Barbell Hack Squat"
"LEG","Barbell Lunge"
"LEG","Barbell Walking Lunge"
"LEG","Belt Squat"
"LEG","Body Weight Lunge"
"LEG","Bodyweight Leg Curl"
"LEG","Box Squat"
"LEG","Bulgarian Split Squat"
"LEG","Chair Squat"
"LEG","Dumbbell Lunge"
"LEG","Dumbbell Squat"
